date,ticker,open,close,change_pct,volume
2026-01-06,EMAT,9.0,21.29,136.55555555555554,736330
2025-12-22,HXHX,0.5199,1.29,148.12463935372188,323488310
2025-12-22,FJET,7.73,31.5,307.503234152652,49859975
2025-12-19,LAZR,0.21635,0.6044,179.36214467298365,895763104
2025-12-18,AFJK,25.77,52.23,102.67753201396972,1020088
2025-12-17,MGRT,4.61,13.05,183.08026030368765,3760560
2025-12-16,VMAR,0.3904,0.976,149.99999999999994,240271110
2025-12-15,AMCI,3.62,7.27,100.82872928176793,103786361
2025-12-12,ARBKL,1.69,5.3,213.6094674556213,5136914
2025-12-10,BBGI,6.05,16.69,175.86776859504135,45846411
2025-12-09,OCG,3.33,10.27,208.4084084084084,53659602
2025-12-09,AFJK,9.68,88.5,814.2561983471074,6728517
2025-12-08,WBUY,2.01,4.06,101.99004975124377,19444063
2025-12-08,ORKT,0.9411,2.33,147.5826160875571,12132816
2025-12-08,TWG,9.51,22.01,131.44058885383808,24251498
2025-12-05,ZVZZT,12.19,27.49,125.512715340443,123523
2025-12-05,TGL,6.82,25.44,273.0205278592376,25611624
2025-12-04,SMX,62.6,141.0,125.23961661341853,6550636
2025-12-03,KITT,0.76,1.56,105.26315789473684,165100958
2025-12-03,ZVZZT,23.53,91.96,290.8202294942626,84289
2025-12-01,CNCK,3.64,7.88,116.4835164835165,27353781
2025-12-01,FLYE,4.48,15.79,252.45535714285708,18712277
2025-11-26,KTTA,0.51,1.06,107.84313725490198,159521876
2025-11-26,SMX,5.94,17.4,192.92929292929287,22826665
2025-11-26,ZYXI,0.7205,1.59,120.68008327550312,141257520
2025-11-26,ZVZZT,12.1,28.85,138.4297520661157,265111
2025-11-25,ZVZZT,12.12,26.48,118.4818481848185,146311
2025-11-21,ZVZZT,12.1,29.48,143.63636363636365,115433
2025-11-19,WSHP,38.0,200.0,426.3157894736843,268914
2025-11-12,LPTX,0.605,2.05,238.84297520661156,785997614
2025-11-11,LFS,1.75,11.37,549.7142857142857,37188174
2025-11-11,ZVZZT,12.12,25.1,107.09570957095713,57943
2025-11-10,ZVZZT,12.15,31.96,163.04526748971196,128313
2025-11-07,EOSEW,3.31,6.73,103.32326283987916,1271413
2025-11-05,MTC,0.31,2.21,612.9032258064516,337977913
2025-11-04,ZVZZT,12.11,32.16,165.56564822460774,124830
2025-11-03,PRLD,1.58,3.98,151.89873417721518,34564958
2025-10-30,BQ,7.78,16.97,118.12339331619535,2960474
2025-10-27,CODX,0.5941,1.26,112.08550749032152,1115789031
2025-10-23,MSAI,0.67,1.35,101.49253731343283,96141024
